state_id,state_name,county,county_fips,lat,lng,population
AL,Alabama,Autauga,1001,32.5349,-86.6427,59285
AL,Alabama,Baldwin,1003,30.7277,-87.7226,239945
AL,Alabama,Barbour,1005,31.8696,-85.3932,24757
AL,Alabama,Bibb,1007,32.9986,-87.1265,22152
AL,Alabama,Blount,1009,33.9809,-86.5674,59292
AL,Alabama,Bullock,1011,32.1005,-85.7157,10157
AL,Alabama,Butler,1013,31.7524,-86.6803,18807
AL,Alabama,Calhoun,1015,33.7714,-85.826,116141
AL,Alabama,Chambers,1017,32.9143,-85.392,34450
AL,Alabama,Cherokee,1019,34.1759,-85.6038,25224
AL,Alabama,Chilton,1021,32.8479,-86.7188,45500
AL,Alabama,Choctaw,1023,32.0198,-88.2632,12525
AL,Alabama,Clarke,1025,31.6767,-87.8308,22802
AL,Alabama,Clay,1027,33.269,-85.8605,14188
AL,Alabama,Cleburne,1029,33.6745,-85.5188,15254
AL,Alabama,Coffee,1031,31.4027,-85.9882,54231
AL,Alabama,Colbert,1033,34.7005,-87.8049,57648
AL,Alabama,Conecuh,1035,31.4293,-86.9937,11411
AL,Alabama,Coosa,1037,32.9362,-86.2477,10323
AL,Alabama,Covington,1039,31.2485,-86.4513,37647
AL,Alabama,Crenshaw,1041,31.7315,-86.3136,13144
AL,Alabama,Cullman,1043,34.1319,-86.8676,89463
AL,Alabama,Dale,1045,31.4318,-85.611,49516
AL,Alabama,Dallas,1047,32.326,-87.1065,37536
AL,Alabama,DeKalb,1049,34.4598,-85.8041,71946
AL,Alabama,Elmore,1051,32.5966,-86.1492,88669
AL,Alabama,Escambia,1053,31.1262,-87.1615,36695
AL,Alabama,Etowah,1055,34.0453,-86.0348,103208
AL,Alabama,Fayette,1057,33.7212,-87.7388,16173
AL,Alabama,Franklin,1059,34.4417,-87.8437,31978
AL,Alabama,Geneva,1061,31.0951,-85.8391,26726
AL,Alabama,Greene,1063,32.8531,-87.9522,7589
AL,Alabama,Hale,1065,32.7627,-87.6291,14749
AL,Alabama,Henry,1067,31.5147,-85.2414,17450
AL,Alabama,Houston,1069,31.1532,-85.3025,107628
AL,Alabama,Jackson,1071,34.7795,-85.9994,52839
AL,Alabama,Jefferson,1073,33.5543,-86.8964,669744
AL,Alabama,Lamar,1075,33.7791,-88.097,13809
AL,Alabama,Lauderdale,1077,34.9014,-87.654,95037
AL,Alabama,Lawrence,1079,34.5217,-87.311,33182
AL,Alabama,Lee,1081,32.6011,-85.3555,177663
AL,Alabama,Limestone,1083,34.8101,-86.9814,107577
AL,Alabama,Lowndes,1085,32.1547,-86.6501,10008
AL,Alabama,Macon,1087,32.3859,-85.6927,18951
AL,Alabama,Madison,1089,34.7631,-86.5502,397135
AL,Alabama,Marengo,1091,32.2477,-87.7895,19027
AL,Alabama,Marion,1093,34.1366,-87.8871,29190
AL,Alabama,Marshall,1095,34.367,-86.3066,98712
AL,Alabama,Mobile,1097,30.7877,-88.2058,413162
AL,Alabama,Monroe,1099,31.5709,-87.3654,19580
AL,Alabama,Montgomery,1101,32.2203,-86.2076,227197
AL,Alabama,Morgan,1103,34.4535,-86.8529,123742
AL,Alabama,Perry,1105,32.6385,-87.2944,8231
AL,Alabama,Pickens,1107,33.2808,-88.0887,18843
AL,Alabama,Pike,1109,31.8027,-85.9409,32953
AL,Alabama,Randolph,1111,33.2938,-85.4591,22310
AL,Alabama,Russell,1113,32.2884,-85.1849,58858
AL,Alabama,St. Clair,1115,33.7157,-86.3146,92903
AL,Alabama,Shelby,1117,33.2643,-86.6607,226955
AL,Alabama,Sumter,1119,32.5911,-88.1988,12020
AL,Alabama,Talladega,1121,33.3801,-86.1659,81170
AL,Alabama,Tallapoosa,1123,32.8624,-85.7975,41070
AL,Alabama,Tuscaloosa,1125,33.2896,-87.5251,234036
AL,Alabama,Walker,1127,33.8033,-87.2973,64886
AL,Alabama,Washington,1129,31.4076,-88.2079,15270
AL,Alabama,Wilcox,1131,31.9893,-87.3082,10347
AL,Alabama,Winston,1133,34.1492,-87.3737,23637
AK,Alaska,Aleutians East,2013,55.3669,-161.9805,3423
AK,Alaska,Aleutians West,2016,52.7985,-106.5633,5178
AK,Alaska,Anchorage,2020,61.1498,-149.1082,289069
AK,Alaska,Bethel,2050,60.9132,-159.8186,18487
AK,Alaska,Bristol Bay,2060,58.7439,-156.7,878
