County,State,Outbreak Date,Flock Type,Flock Size
Ottawa,Michigan,12/31/2024,Commercial Turkey Meat Bird,29400
Riverside,California,12/31/2024,Commercial Table Egg Layer,181300
Spartanburg,South Carolina,12/31/2024,Commercial Upland Gamebird Producer,920
Butte,California,12/31/2024,WOAH Non-Poultry,70
Miner,South Dakota,12/31/2024,WOAH Poultry,1500
Ottawa,Michigan,12/31/2024,Commercial Turkey Meat Bird,23400
Jackson,Michigan,12/31/2024,WOAH Non-Poultry,9
Clay,Arkansas,12/30/2024,Commercial Broiler Production,227500
Twin Falls,Idaho,12/30/2024,WOAH Non-Poultry,30
Copiah,Mississippi,12/30/2024,Commercial Broiler Production,210000
Tipton,Tennessee,12/30/2024,WOAH Non-Poultry,10
Johnson,Nebraska,12/30/2024,Commercial Broiler Production,209100
Edmunds,South Dakota,12/30/2023,Commercial Upland Gamebird Producer,1400
Snohomish,Washington,12/30/2022,WOAH Poultry,180
Sanilac,Michigan,12/30/2022,WOAH Non-Poultry,30
Carson,Texas,12/29/2023,WOAH Non-Poultry,30
Mcintosh,North Dakota,12/29/2023,WOAH Non-Poultry,110
Pierce,Washington,12/29/2022,WOAH Non-Poultry,40
Missoula,Montana,12/28/2023,WOAH Non-Poultry,6
Marin,California,12/28/2023,Commercial Table Egg Pullets,151000
Sonoma,California,12/28/2023,Commercial Table Egg Layer,37300
Sonoma,California,12/28/2023,Commercial Table Egg Layer,52400
Audrain,Missouri,12/28/2023,WOAH Poultry,330
Elk,Kansas,12/28/2022,WOAH Non-Poultry,30
Weakley,Tennessee,12/28/2022,Commercial Broiler Breeder,43600
Weakley,Tennessee,12/28/2022,Commercial Broiler Breeder,19000
Darke,Ohio,12/27/2024,Commercial Table Egg Layer,931300
Coffey,Kansas,12/27/2024,WOAH Non-Poultry,50
Cooper,Missouri,12/27/2024,Commercial Turkey Breeder Hens,14900
Stanislaus,California,12/27/2024,Commercial Broiler Production,101700
Anderson,Kansas,12/27/2024,WOAH Non-Poultry,40
Sheridan,Wyoming,12/27/2024,WOAH Non-Poultry,0
Burnett,Wisconsin,12/27/2024,Commercial Turkey Meat Bird,18600
Sacramento,California,12/27/2024,Commercial Broiler Production,153800
Ottawa,Michigan,12/27/2024,Commercial Turkey Meat Bird,113200
Pemiscot,Missouri,12/27/2024,WOAH Non-Poultry,70
Todd,Minnesota,12/27/2023,Commercial Turkey Meat Bird,78800
Muskegon,Michigan,12/27/2023,Commercial Turkey Meat Bird,31500
Garfield,Oklahoma,12/27/2023,WOAH Non-Poultry,30
Hardin,Ohio,12/27/2023,Commercial Table Egg Pullets,1363900
Northumberland,Pennsylvania,12/27/2023,Commercial Raised for Release Upland Game Bird,98300
Phillips,Kansas,12/26/2024,WOAH Non-Poultry,10
Merced,California,12/26/2023,Commercial Table Egg Layer,709000
Adair,Oklahoma,12/24/2024,Commercial Turkey Meat Bird,81400
Adair,Oklahoma,12/24/2024,Commercial Turkey Meat Bird,45000
Cass,Missouri,12/24/2024,WOAH Non-Poultry,60
San Joaquin,California,12/24/2024,Commercial Table Egg Layer,627800
Franklin,Vermont,12/24/2024,WOAH Non-Poultry,20
Dade,Missouri,12/24/2024,WOAH Non-Poultry,90
Riverside,California,12/24/2024,Commercial Table Egg Layer,1105500
Stanislaus,California,12/24/2024,Commercial Table Egg Layer,392100
Ottawa,Michigan,12/23/2024,Commercial Turkey Meat Bird,75500
El Dorado,California,12/23/2024,WOAH Non-Poultry,30
Lawrence,Illinois,12/23/2024,Commercial Turkey Meat Bird,40300
Glenn,California,12/22/2022,Commercial Upland Gamebird Producer,32000
Edmunds,South Dakota,12/21/2023,Commercial Upland Gamebird Producer,3800
Dodge,Nebraska,12/21/2023,WOAH Non-Poultry,40
Weakley,Tennessee,12/21/2022,WOAH Poultry,28800
St. Clair,Illinois,12/21/2022,WOAH Non-Poultry,60
Bates,Missouri,12/21/2022,WOAH Non-Poultry,30
Umatilla,Oregon,12/21/2022,WOAH Non-Poultry,10
Sedgwick,Kansas,12/20/2024,WOAH Non-Poultry,30
Houston,Minnesota,12/20/2024,WOAH Non-Poultry,60
Craighead,Arkansas,12/20/2024,WOAH Non-Poultry,50
Greene,Mississippi,12/20/2024,Commercial Broiler Breeder,26000
Cooper,Missouri,12/20/2024,Commercial Turkey Breeder Hens,13000
Chippewa,Minnesota,12/20/2024,Commercial Turkey Meat Bird,54800
Mahaska,Iowa,12/20/2023,WOAH Non-Poultry,30
Charles Mix,South Dakota,12/20/2023,Commercial Upland Gamebird Producer,50
Benton,Oregon,12/20/2023,WOAH Non-Poultry,50
Merced,California,12/20/2023,Commercial Table Egg Layer,243300
Merced,California,12/20/2023,Commercial Turkey Meat Bird,73700
Hanson,South Dakota,12/20/2022,Commercial Turkey Meat Bird,31800
Weld,Colorado,12/20/2022,Commercial Table Egg Layer,239700
Gem,Idaho,12/20/2022,WOAH Non-Poultry,80
Coos,Oregon,12/19/2024,WOAH Non-Poultry,40
Pickens,Alabama,12/19/2024,WOAH Non-Poultry,50
Deschutes,Oregon,12/19/2024,WOAH Non-Poultry,90
Greene,Ohio,12/19/2024,WOAH Poultry,110
Kenosha,Wisconsin,12/19/2024,WOAH Poultry,6
Stearns,Minnesota,12/19/2024,Commercial Turkey Meat Bird,12600
Cullman,Alabama,12/19/2024,Commercial Broiler Production,116000
Stanislaus,California,12/19/2024,Commercial Table Egg Layer,295800
Fillmore,Minnesota,12/19/2024,Commercial Turkey Meat Bird,28600
Jackson,Arkansas,12/19/2024,WOAH Non-Poultry,230
Barton,Kansas,12/19/2023,WOAH Non-Poultry,70
Sonoma,California,12/19/2023,Commercial Duck Meat Bird,3600
Mcpherson,Kansas,12/19/2023,WOAH Poultry,20000
Rice,Kansas,12/19/2023,Commercial Table Egg Layer,800000
King,Washington,12/19/2023,WOAH Poultry,90
Muskegon,Michigan,12/19/2023,Commercial Turkey Meat Bird,47900
Lassen,California,12/19/2023,WOAH Non-Poultry,90
Mendocino,California,12/19/2022,WOAH Non-Poultry,20
Howard,Missouri,12/18/2024,WOAH Non-Poultry,60
Jefferson Davis,Louisiana,12/18/2024,WOAH Non-Poultry,30
Doniphan,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird,5700
Nelson,North Dakota,12/18/2024,WOAH Non-Poultry,60
Rooks,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird,5300
Edmunds,South Dakota,12/18/2023,Commercial Upland Gamebird Producer,1000
Rice,Kansas,12/18/2023,WOAH Non-Poultry,100
Sonoma,California,12/18/2023,WOAH Poultry,38100
Sonoma,California,12/18/2023,Commercial Table Egg Layer,497700
Lemhi,Idaho,12/17/2024,WOAH Non-Poultry,20
Sioux,Iowa,12/17/2024,Commercial Table Egg Layer,428600
Monona,Iowa,12/17/2024,WOAH Non-Poultry,30
O'brien,Iowa,12/17/2024,Commercial Table Egg Layer,351400
Charles Mix,South Dakota,12/17/2024,Commercial Turkey Meat Bird,74800
Stanislaus,California,12/17/2024,Commercial Turkey Meat Bird,33100
Bon Homme,South Dakota,12/17/2024,Commercial Turkey Meat Bird,48700
Lancaster,Nebraska,12/17/2024,WOAH Poultry,290
Charles Mix,South Dakota,12/17/2024,WOAH Poultry,1800
Worth,Iowa,12/17/2024,Commercial Turkey Meat Bird,19500
Lemhi,Idaho,12/17/2024,WOAH Non-Poultry,150
Merced,California,12/16/2024,Commercial Turkey Meat Bird,53100
Merced,California,12/16/2024,Commercial Table Egg Pullets,424700
Sarpy,Nebraska,12/16/2024,WOAH Non-Poultry,30
Butte,California,12/16/2022,WOAH Non-Poultry,20
Flathead,Montana,12/16/2022,WOAH Non-Poultry,0
Weld,Colorado,12/16/2022,Commercial Table Egg Layer,1291000
Duval,Florida,12/16/2022,WOAH Non-Poultry,10
Waseca,Minnesota,12/15/2023,WOAH Non-Poultry,90
Latah,Idaho,12/15/2023,WOAH Poultry,200
Polk,Oregon,12/15/2022,WOAH Non-Poultry,20
Tulare,California,12/14/2024,Commercial Duck Meat Bird,41100
Merced,California,12/14/2024,Commercial Duck Meat Bird,119000
Bossier,Louisiana,12/14/2024,WOAH Non-Poultry,40
Monterey,California,12/14/2024,Commercial Duck Breeder,13700
Darke,Ohio,12/14/2023,Commercial Table Egg Layer,522300
Scott,Arkansas,12/14/2023,WOAH Non-Poultry,180
Clatsop,Oregon,12/14/2023,WOAH Non-Poultry,30
Moody,South Dakota,12/14/2022,Commercial Table Egg Layer,1332100
Knox,Nebraska,12/14/2022,WOAH Poultry,160
Spink,South Dakota,12/14/2022,WOAH Poultry,280
Redwood,Minnesota,12/14/2022,WOAH Non-Poultry,40
Weakley,Tennessee,12/14/2022,WOAH Poultry,37900
Franklin,Washington,12/14/2022,Commercial Table Egg Layer,1015500
Tulare,California,12/13/2024,Commercial Broiler Production,514500
Barron,Wisconsin,12/13/2024,Commercial Turkey Breeder Hens,13200
Livingston,Illinois,12/13/2024,Commercial Turkey Breeder Hens,40900
Weld,Colorado,12/13/2023,WOAH Non-Poultry,30
Mcpherson,Kansas,12/13/2023,WOAH Poultry,20000
Merced,California,12/13/2023,Commercial Broiler Production,183100
Rice,Kansas,12/13/2023,Commercial Table Egg Layer,700000
San Joaquin,California,12/13/2023,Commercial Duck Breeder,6000
Merced,California,12/13/2023,Commercial Table Egg Layer,1358600
Daviess,Indiana,12/13/2022,Commercial Turkey Meat Bird,11400
Linn,Oregon,12/13/2022,WOAH Non-Poultry,20
Columbia,Oregon,12/13/2022,WOAH Non-Poultry,100
Craighead,Arkansas,12/12/2024,WOAH Non-Poultry,10
Pope,Arkansas,12/12/2024,WOAH Non-Poultry,40
Sac,Iowa,12/12/2024,Commercial Turkey Meat Bird,45200
Kingsbury,South Dakota,12/12/2024,Commercial Turkey Meat Bird,39300
Dutchess,New York,12/12/2023,WOAH Poultry,4200
Lake,South Dakota,12/12/2023,Commercial Turkey Meat Bird,76000
St. Louis,Missouri,12/12/2023,WOAH Non-Poultry,20
Etowah,Alabama,12/12/2023,WOAH Non-Poultry,80
Wadena,Minnesota,12/12/2022,Commercial Turkey Meat Bird,298100
Buena Vista,Iowa,12/12/2022,Commercial Turkey Meat Bird,51200
Hanson,South Dakota,12/12/2022,Commercial Turkey Meat Bird,23900
Ida,Iowa,12/12/2022,Commercial Turkey Meat Bird,90000
Cherokee,Iowa,12/12/2022,Commercial Turkey Meat Bird,50000
Sac,Iowa,12/12/2022,Commercial Turkey Meat Bird,50000
Dodge,Nebraska,12/11/2024,WOAH Non-Poultry,10
Palo Alto,Iowa,12/11/2024,Commercial Turkey Meat Bird,31100
Brule,South Dakota,12/11/2024,Commercial Turkey Meat Bird,50900
Adair,Oklahoma,12/11/2024,WOAH Poultry,40000
Sioux,Iowa,12/11/2024,Commercial Table Egg Layer,1575700
Olmsted,Minnesota,12/11/2023,Commercial Turkey Breeder Hens,14400
Jewell,Kansas,12/10/2024,WOAH Non-Poultry,40
Franklin,Idaho,12/10/2024,WOAH Non-Poultry,40
Moody,South Dakota,12/10/2024,Commercial Turkey Meat Bird,46700
Daviess,Missouri,12/10/2024,WOAH Poultry,19900
Stanislaus,California,12/10/2024,Commercial Duck Breeder,81800
Cedar,Missouri,12/10/2024,WOAH Non-Poultry,20
Charles Mix,South Dakota,12/10/2024,Commercial Turkey Meat Bird,32400
La Plata,Colorado,12/10/2024,WOAH Non-Poultry,20
Jefferson,Idaho,12/10/2024,WOAH Non-Poultry,60
Beadle,South Dakota,12/10/2024,Commercial Turkey Meat Bird,52200
Tulare,California,12/10/2024,Commercial Broiler Production,330200
Kern,California,12/9/2024,WOAH Poultry,45400
Beadle,South Dakota,12/9/2024,Commercial Turkey Meat Bird,50600
Lafayette,Arkansas,12/9/2024,WOAH Non-Poultry,40
Hutchinson,South Dakota,12/9/2024,Commercial Turkey Meat Bird,42800
Polk,Oregon,12/9/2022,WOAH Non-Poultry,70
Clackamas,Oregon,12/9/2022,WOAH Non-Poultry,60
Osage,Missouri,12/9/2022,Commercial Turkey Meat Bird,19700
Prowers,Colorado,12/9/2022,Commercial Upland Gamebird Producer,11000
Onslow,North Carolina,12/9/2022,WOAH Non-Poultry,60
Mills,Iowa,12/8/2023,WOAH Non-Poultry,10
Barron,Wisconsin,12/8/2023,Commercial Turkey Meat Bird,70000
Barton,Kansas,12/8/2023,WOAH Non-Poultry,30
Charles Mix,South Dakota,12/8/2023,Commercial Turkey Meat Bird,32400
Dodge,Minnesota,12/8/2022,Commercial Turkey Meat Bird,10000
Dade,Missouri,12/8/2022,WOAH Non-Poultry,30
Hamlin,South Dakota,12/8/2022,Commercial Turkey Meat Bird,58100
Orleans,Vermont,12/7/2023,WOAH Non-Poultry,40
Stanislaus,California,12/7/2023,Commercial Broiler Production,258600
Hardin,Ohio,12/7/2023,Commercial Table Egg Layer,2613600
Carroll,Arkansas,12/7/2023,Commercial Turkey Meat Bird,33300
Darke,Ohio,12/7/2023,Commercial Turkey Meat Bird,15200
Sonoma,California,12/7/2023,Commercial Duck Meat Bird,4900
Montmorency,Michigan,12/7/2023,WOAH Poultry,100
Sac,Iowa,12/7/2022,Commercial Turkey Meat Bird,40000
Kingsbury,South Dakota,12/7/2022,WOAH Non-Poultry,70
Cherokee,Iowa,12/7/2022,Commercial Turkey Meat Bird,105000
Sioux,Iowa,12/6/2024,Commercial Table Egg Layer,4200000
Washakie,Wyoming,12/6/2024,WOAH Non-Poultry,20
Stanislaus,California,12/6/2024,WOAH Poultry,44100
Pitkin,Colorado,12/6/2024,WOAH Non-Poultry,50
Nemaha,Nebraska,12/6/2024,Commercial Turkey Breeder Hens,12400
Todd,Minnesota,12/6/2023,Commercial Turkey Meat Bird,64000
Hamlin,South Dakota,12/6/2023,Commercial Turkey Meat Bird,56200
Bon Homme,South Dakota,12/6/2023,Commercial Turkey Meat Bird,47600
Becker,Minnesota,12/6/2023,Commercial Breeder Operation,20600
Sonoma,California,12/6/2023,Commercial Table Egg Layer,232000
Harrison,Missouri,12/6/2022,WOAH Non-Poultry,30
Denton,Texas,12/6/2022,WOAH Non-Poultry,40
Pawnee,Oklahoma,12/6/2022,WOAH Non-Poultry,30
Larimer,Colorado,12/6/2022,WOAH Non-Poultry,2
Lamoille,Vermont,12/6/2022,WOAH Non-Poultry,50
Merced,California,12/5/2024,Commercial Table Egg Layer,1723800
San Joaquin,California,12/5/2024,Commercial Duck Meat Bird,13000
Merced,California,12/5/2024,Commercial Table Egg Layer,306100
Merced,California,12/5/2024,Commercial Table Egg Layer,793700
Shawnee,Kansas,12/5/2023,WOAH Non-Poultry,70
Stanislaus,California,12/5/2023,Commercial Broiler Production,254400
Otter Tail,Minnesota,12/5/2023,Commercial Turkey Meat Bird,26300
Stanislaus,California,12/5/2023,Commercial Broiler Production,239900
Kingsbury,South Dakota,12/5/2023,WOAH Non-Poultry,370
Spink,South Dakota,12/5/2023,Commercial Turkey Meat Bird,26600
Lawrence,Alabama,12/5/2022,WOAH Non-Poultry,460
Charles Mix,South Dakota,12/5/2022,Commercial Turkey Meat Bird,34100
Clark,South Dakota,12/5/2022,Commercial Turkey Meat Bird,24300
Buena Vista,Iowa,12/5/2022,Commercial Turkey Meat Bird,40700
Stanislaus,California,12/4/2024,Commercial Table Egg Layer,720800
Sacramento,California,12/4/2024,Commercial Turkey Meat Bird,61200
Riverside,California,12/4/2024,WOAH Non-Poultry,70
Stanislaus,California,12/4/2024,Commercial Turkey Meat Bird,23100
Charles Mix,South Dakota,12/4/2024,Commercial Turkey Meat Bird,65200
Stanislaus,California,12/4/2024,Commercial Turkey Meat Bird,57700
Johnson,Arkansas,12/4/2023,Commercial Broiler Production,109000
Mcpherson,South Dakota,12/4/2023,Commercial Turkey Meat Bird,40800
Barron,Wisconsin,12/4/2023,Commercial Turkey Meat Bird,113800
Pottawatomie,Kansas,12/4/2023,WOAH Non-Poultry,30
Adair,Oklahoma,12/3/2024,Commercial Broiler Breeder,63700
Fresno,California,12/3/2024,Commercial Broiler Production,237100
Spink,South Dakota,12/3/2024,Commercial Turkey Meat Bird,41400
Douglas,Kansas,12/3/2024,WOAH Non-Poultry,100
Mcpherson,South Dakota,12/3/2024,Commercial Turkey Meat Bird,78200
Utah,Utah,12/3/2024,WOAH Non-Poultry,30
Bottineau,North Dakota,12/2/2024,WOAH Poultry,30
Clark,South Dakota,12/2/2022,WOAH Non-Poultry,40
Union,North Carolina,12/2/2022,WOAH Non-Poultry,9
Knox,Nebraska,12/2/2022,WOAH Non-Poultry,10
Woodbury,Iowa,12/1/2023,WOAH Non-Poultry,40
Canyon,Idaho,12/1/2023,WOAH Non-Poultry,20
Darke,Ohio,12/1/2023,Commercial Turkey Meat Bird,33000
Bay,Michigan,12/1/2023,WOAH Non-Poultry,60
Brookings,South Dakota,12/1/2022,WOAH Non-Poultry,210
Lake,South Dakota,12/1/2022,Commercial Turkey Meat Bird,78000
Arkansas,Arkansas,12/1/2022,WOAH Non-Poultry,20
Jackson,Missouri,12/1/2022,WOAH Non-Poultry,30
Lewis And Clark,Montana,11/30/2023,WOAH Non-Poultry,6
Sonoma,California,11/30/2023,Commercial Table Egg Layer,82500
San Benito,California,11/30/2023,Commercial Duck Breeder,5000
Minnehaha,South Dakota,11/30/2023,WOAH Non-Poultry,80
Bent,Colorado,11/30/2023,WOAH Poultry,4100
Charles Mix,South Dakota,11/30/2022,Commercial Turkey Meat Bird,75100
Hamlin,South Dakota,11/30/2022,Commercial Turkey Meat Bird,50000
Grundy,Illinois,11/30/2022,WOAH Poultry,8800
Merced,California,11/29/2024,Commercial Turkey Meat Bird,25200
Fresno,California,11/29/2024,Commercial Duck Breeder,23100
Meeker,Minnesota,11/29/2024,Commercial Turkey Meat Bird,223800
Tulare,California,11/29/2024,Commercial Duck Breeder,26500
Gibson,Tennessee,11/29/2024,Commercial Broiler Breeder,37700
Fresno,California,11/29/2024,Commercial Broiler Production,266400
Carroll,Arkansas,11/29/2023,Commercial Broiler Production,81200
Dickey,North Dakota,11/29/2023,WOAH Poultry,130
Becker,Minnesota,11/29/2023,Commercial Turkey Breeder Hens,23200
Otter Tail,Minnesota,11/29/2023,Commercial Turkey Meat Bird,18800
Douglas,Minnesota,11/29/2023,Commercial Turkey Meat Bird,13500
Morgan,Colorado,11/29/2023,WOAH Non-Poultry,60
Woodbury,Iowa,11/29/2023,WOAH Non-Poultry,10
Spink,South Dakota,11/29/2022,Commercial Turkey Meat Bird,32900
Washington,Maryland,11/29/2022,Commercial Table Egg Breeder,24600
Hanson,South Dakota,11/29/2022,Commercial Turkey Meat Bird,71600
Dickey,North Dakota,11/28/2023,Commercial Turkey Meat Bird,60300
Yankton,South Dakota,11/28/2023,Commercial Turkey Meat Bird,49000
Trempealeau,Wisconsin,11/28/2023,Commercial Turkey Meat Bird,23500
Emmons,North Dakota,11/28/2023,WOAH Non-Poultry,60
Sioux,Iowa,11/28/2023,Commercial Table Egg Layer,1616300
Colfax,Nebraska,11/28/2023,WOAH Non-Poultry,20
Trempealeau,Wisconsin,11/28/2023,Commercial Turkey Meat Bird,48700
Mcpherson,South Dakota,11/28/2023,Commercial Turkey Meat Bird,61800
Pierce,Washington,11/28/2023,WOAH Non-Poultry,540
Iron,Utah,11/28/2022,WOAH Poultry,3000
Webster,Missouri,11/28/2022,Commercial Turkey Meat Bird,15100
Meeker,Minnesota,11/27/2024,Commercial Turkey Meat Bird,24700
Union,Oregon,11/27/2024,WOAH Non-Poultry,30
Faulk,South Dakota,11/27/2024,Commercial Turkey Meat Bird,56000
Beadle,South Dakota,11/27/2024,Commercial Turkey Meat Bird,41100
Sanpete,Utah,11/27/2024,Commercial Turkey Meat Bird,51800
Ransom,North Dakota,11/27/2024,Commercial Turkey Meat Bird,59500
Sonoma,California,11/27/2023,Commercial Duck Breeder,205500
Brown,Minnesota,11/27/2023,Commercial Turkey Breeder Hens,7800
Matanuska Susitna,Alaska,11/26/2024,WOAH Non-Poultry,70
Meeker,Minnesota,11/25/2024,Commercial Turkey Meat Bird,30500
Turner,South Dakota,11/25/2022,WOAH Non-Poultry,210
Beadle,South Dakota,11/25/2022,Commercial Turkey Meat Bird,67900
Beadle,South Dakota,11/25/2022,Commercial Turkey Meat Bird,50700
Dixon,Nebraska,11/25/2022,Commercial Table Egg Layer,1700000
Matanuska Susitna,Alaska,11/25/2022,WOAH Non-Poultry,40
Spink,South Dakota,11/25/2022,Commercial Turkey Meat Bird,55500
Durham,North Carolina,11/25/2022,WOAH Non-Poultry,30
Freeborn,Minnesota,11/24/2023,WOAH Non-Poultry,8
Kandiyohi,Minnesota,11/24/2023,Commercial Turkey Breeder Hens,7300
Clackamas,Oregon,11/24/2023,WOAH Non-Poultry,10
Otter Tail,Minnesota,11/24/2023,Commercial Breeder Operation,19400
Columbia,Oregon,11/23/2022,WOAH Non-Poultry,30
