County,State,Outbreak Date,Flock Type,Species Name,Birds Affected,Flock Size
Washakie,Wyoming,12/6/2024,WOAH Non-Poultry,Goose,20,20
Klamath,Oregon,3/14/2024,WOAH Non-Poultry,Chicken,10,10
Fremont,Wyoming,10/12/2022,WOAH Non-Poultry,Chicken,30,30
Adams,Indiana,1/27/2025,Commercial Turkey Meat Bird,Turkey,"19,900",19900
Pinal,Arizona,2/5/2025,WOAH Non-Poultry,Chicken,0,
Kings,California,11/14/2024,WOAH Non-Poultry,Chicken,8,8
Bronx,New York,2/6/2025,Live Bird Market,Chicken,0,0
Newton,Missouri,1/21/2025,Commercial Table Egg Layer,Chicken,"1,175,800",1175800
Sheridan,Wyoming,12/27/2024,WOAH Non-Poultry,Chicken,0,
Shelby,Indiana,1/28/2025,WOAH Non-Poultry,Poultry,60,60
Maricopa,Arizona,11/21/2024,WOAH Non-Poultry,Chicken,490,490
Wayne,North Carolina,4/7/2022,Commercial Turkey Meat Bird,Turkey,"18,500",18500
Yakima,Washington,6/9/2022,WOAH Non-Poultry,Chicken,70,70
Stanislaus,California,12/5/2023,Commercial Broiler Production,Chicken,"254,400",254400
Union,North Carolina,11/18/2022,WOAH Non-Poultry,Chicken,50,50
Meeker,Minnesota,9/14/2022,Commercial Turkey Meat Bird,Turkey,"61,400",61400
Moody,South Dakota,12/10/2024,Commercial Turkey Meat Bird,Turkey,"46,700",46700
Columbia,Oregon,12/13/2022,WOAH Non-Poultry,Duck,100,100
Canyon,Idaho,1/3/2025,WOAH Non-Poultry,Chicken,20,20
Riverside,California,12/31/2024,Commercial Table Egg Layer,Chicken,"181,300",181300
Worcester,Maryland,2/4/2025,Commercial Broiler Production,Chicken,"201,600",201600
Pierce,Washington,5/10/2022,WOAH Non-Poultry,Chicken,20,20
Deaf Smith,Texas,3/20/2024,WOAH Non-Poultry,Chicken,50,50
Lancaster,Nebraska,12/17/2024,WOAH Poultry,Multiple Poultry Species,290,290
Dawes,Nebraska,9/19/2022,WOAH Non-Poultry,Chicken,40,40
Kossuth,Iowa,4/26/2022,WOAH Non-Poultry,Poultry,4,4
Olmsted,Minnesota,12/11/2023,Commercial Turkey Breeder Hens,Turkey,"14,400",14400
Clark,South Dakota,9/20/2022,Commercial Turkey Meat Bird,Turkey,"41,700",41700
Duplin,North Carolina,2/20/2024,Commercial Turkey Meat Bird,Turkey,"20,900",20900
Kern,California,12/9/2024,WOAH Poultry,Chicken,"45,400",45400
Ottawa,Michigan,1/4/2025,Commercial Turkey Meat Bird,Turkey,"55,200",55200
Canyon,Idaho,1/3/2025,WOAH Non-Poultry,Chicken,20,20
Jefferson,Colorado,10/20/2022,WOAH Poultry,Poultry,50,50
Montmorency,Michigan,12/7/2023,WOAH Poultry,Chicken,100,100
Kandiyohi,Minnesota,4/19/2022,Commercial Turkey Meat Bird,Turkey,"38,700",38700
Lewis,Washington,10/25/2024,WOAH Non-Poultry,Multiple Poultry Species,60,60
Mercer,Ohio,1/24/2025,Commercial Turkey Meat Bird,Turkey,"19,600",19600
Richland,North Dakota,4/21/2022,Commercial Turkey Meat Bird,Turkey,"27,500",27500
Fulton,Kentucky,2/12/2022,Commercial Broiler Production,Chicken,"231,400",231400
Canyon,Idaho,5/9/2022,WOAH Poultry,Poultry,50,50
Sonoma,California,1/9/2023,WOAH Non-Poultry,Chicken,20,20
Darke,Ohio,12/27/2024,Commercial Table Egg Layer,Chicken,"931,300",931300
Darke,Ohio,1/31/2025,Commercial Turkey Meat Bird,Turkey,"11,700",11700
Knox,Nebraska,4/27/2022,Commercial Table Egg Layer,Chicken,"2,118,000",2118000
Sacramento,California,8/30/2022,Commercial Turkey Meat Bird,Turkey,"97,000",97000
Clallam,Washington,5/11/2022,WOAH Non-Poultry,Chicken,10,10
La Plata,Colorado,4/19/2022,WOAH Poultry,Poultry,40,40
Sac,Iowa,12/12/2022,Commercial Turkey Meat Bird,Turkey,"50,000",50000
Brazoria,Texas,1/9/2025,WOAH Non-Poultry,Chicken,90,90
Carroll,Arkansas,12/7/2023,Commercial Turkey Meat Bird,Turkey,"33,300",33300
Johnson,Nebraska,12/30/2024,Commercial Broiler Production,Chicken,"209,100",209100
Moore,Texas,3/11/2024,WOAH Non-Poultry,Duck,280,280
Kitsap,Washington,10/17/2024,WOAH Non-Poultry,Multiple Poultry Species,60,60
Otter Tail,Minnesota,6/27/2024,Commercial Turkey Meat Bird,Turkey,"67,400",67400
Kandiyohi,Minnesota,3/29/2022,Commercial Turkey Meat Bird,Turkey,"39,500",39500
Miami-dade,Florida,7/19/2024,Live Bird Market,Chicken,390,390
Lincoln,Nebraska,2/21/2023,WOAH Poultry,Chicken,420,420
Todd,Minnesota,4/20/2022,Commercial Turkey Meat Bird,Turkey,"30,300",30300
Hanson,South Dakota,3/22/2022,Commercial Turkey Meat Bird,Turkey,"94,600",94600
Hardin,Ohio,12/7/2023,Commercial Table Egg Layer,Chicken,"2,613,600",2613600
Mcdonald,Missouri,1/30/2025,Commercial Turkey Meat Bird,Turkey,"11,700",11700
San Joaquin,California,12/5/2024,Commercial Duck Meat Bird,Duck,"13,000",13000
Deschutes,Oregon,7/12/2022,WOAH Poultry,Poultry,100,100
