State,Outbreak Date,Production,Species,Production Type Name
California,1/31/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
Nevada,1/31/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/22/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
Nevada,1/31/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/27/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/28/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
Nevada,1/31/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
Nevada,1/31/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/21/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/22/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/21/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/24/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/24/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,2/10/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/21/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/17/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/14/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/14/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/14/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,2/10/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,2/10/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,2/10/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/14/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/22/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/22/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/10/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/14/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/14/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/13/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/31/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/8/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/7/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/3/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/3/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/31/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/23/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/2/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,2/3/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/31/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/4/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/24/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/24/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/26/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/23/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/7/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/7/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/11/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/3/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/27/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,2/3/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/17/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/23/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/12/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/3/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/12/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,1/23/2025,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/14/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/11/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/12/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/18/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/13/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/12/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/12/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/16/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/9/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/10/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/6/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
California,12/11/2024,Dairy Milking Cows,Cattle,Dairy Milking Cows
