State,County,Outbreak Date,HPAI Strain,Species
Oregon,Multnomah,2/10/2025,EA H5N1,Domestic cat
Montana,Flathead,2/10/2025,EA/AM H5N1,Domestic cat
California,San Mateo,2/5/2025,EA H5,Domestic cat
Colorado,Douglas,1/31/2025,EA H5N1,Domestic cat
California,Contra Costa,1/24/2025,EA H5,Domestic cat
Florida,Brevard,1/24/2025,EA H5,Bottlenose dolphin
Florida,Brevard,1/24/2025,EA H5,Bottlenose dolphin
Delaware,New Castle,1/23/2025,EA H5,Red fox
Pennsylvania,Lehigh,1/23/2025,EA H5,Red fox
South Dakota,Faulk,1/23/2025,EA H5,Domestic cat
South Dakota,Faulk,1/23/2025,EA H5,Domestic cat
New York,Albany,1/21/2025,EA H5,Eastern gray squirrel
Oregon,Washington,1/17/2025,EA H5,Domestic cat
California,Los Angeles,1/15/2025,EA H5N1,Domestic cat
California,Los Angeles,1/15/2025,EA H5N1,Domestic cat
Kansas,Pottawatomie,1/14/2025,EA H5,Domestic cat
Louisiana,Orleans,1/14/2025,EA H5N1,Domestic cat
Illinois,Cook,1/14/2025,EA H5,Harbor seal
Michigan,Kent,1/13/2025,EA H5N1,Serval
Iowa,Hamilton,1/13/2025,EA H5,Domestic cat
South Dakota,Lake,1/13/2025,EA H5,Domestic cat
Oregon,Clackamas,1/13/2025,EA H5,House mouse
Washington,Franklin,1/10/2025,EA H5,Deer mouse
Washington,Franklin,1/10/2025,EA H5,House mouse
Washington,Franklin,1/10/2025,EA H5,Deer mouse
Washington,Franklin,1/10/2025,EA H5,Deer mouse
Washington,Franklin,1/10/2025,EA H5,House mouse
Nebraska,Morrill,1/6/2025,EA/AM H5N1,Mountain lion
California,Los Angeles,1/3/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,1/3/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,1/3/2025,EA/AM H5N1,Domestic cat
Colorado,Adams,1/3/2025,EA/AM H5N1,Domestic cat
Colorado,Kit Carson,1/3/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,1/3/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,1/3/2025,EA/AM H5N1,Domestic cat
Minnesota,Cottonwood,1/2/2025,EA/AM H5N1,Domestic cat
California,Santa Barbara,1/2/2025,EA/AM H5N1,Domestic cat
California,Santa Barbara,1/2/2025,EA/AM H5N1,Domestic cat
South Dakota,Brookings,12/31/2024,EA H5,Domestic cat
California,Los Angeles,12/31/2024,EA H5N1,Domestic cat
California,Los Angeles,12/31/2024,EA H5N1,Domestic cat
Alaska,Juneau,12/30/2024,EA H5,Ermine
Colorado,Larimer,12/30/2024,EA H5,Bobcat
Nevada,Carson City,12/30/2024,EA H5N1,Mountain lion
California,Los Angeles,12/27/2024,EA/AM H5N1,Domestic cat
Colorado,Denver,12/26/2024,EA H5N1,Tiger
Colorado,Denver,12/26/2024,EA H5,African lion
Colorado,Denver,12/26/2024,EA H5N1,Fox
Washington,Mason,12/24/2024,EA H5N1,Serval
Florida,Brevard,12/23/2024,EA H5N1,Bottlenose dolphin
Florida,Brevard,12/23/2024,EA H5N1,Bottlenose dolphin
California,Los Angeles,12/23/2024,EA H5N1,Domestic cat
California,Sacramento,12/23/2024,EA H5N1,Serval
Colorado,Denver,12/23/2024,EA H5N1,Mountain lion
Oregon,Washington,12/19/2024,EA H5N1,Domestic cat
Colorado,Denver,12/19/2024,EA H5N1,Tiger
Minnesota,Morrison,12/18/2024,EA H5N1,Domestic cat
California,Sacramento,12/18/2024,EA/AM H5N1,Bengal tiger
Washington,Clallam,12/18/2024,EA H5,Mountain lion
California,Fresno,12/17/2024,EA H5N1,Domestic cat
Washington,Mason,12/16/2024,EA H5N1,Bobcat
Washington,Mason,12/16/2024,EA H5N1,Serval
Washington,Mason,12/16/2024,EA H5N1,Savannah cat
Washington,Mason,12/16/2024,EA H5N1,Canada lynx
Washington,Mason,12/16/2024,EA H5N1,Hybrid tiger (Panthera)
Washington,Mason,12/16/2024,EA H5N1,Mountain lion
Washington,Mason,12/16/2024,EA H5N1,Mountain lion
Washington,Mason,12/16/2024,EA H5N1,Serval
Washington,Mason,12/16/2024,EA H5N1,Bobcat
Washington,Mason,12/16/2024,EA H5N1,Geoffroy's cat
Washington,Mason,12/16/2024,EA H5N1,Serval
Washington,Mason,12/16/2024,EA H5N1,Serval
Washington,Mason,12/16/2024,EA H5N1,Eurasian lynx
Utah,Cache,12/13/2024,EA H5,House mouse
Utah,Cache,12/13/2024,EA/AM H5N1,Domestic cat
Arizona,Maricopa,12/12/2024,EA H5,Mountain lion
Massachusetts,Essex,12/11/2024,EA/AM H5N1,Harbor seal
Washington,King,12/10/2024,EA H5,Raccoon
Idaho,Ada,12/10/2024,EA/AM H5N1,Amur tiger
California,San Bernardino,12/10/2024,EA H5N1,Domestic cat
Washington,Clallam,12/6/2024,EA H5,Mountain lion
Washington,Franklin,12/6/2024,EA H5,Coyote
Montana,Powell,12/6/2024,EA/AM H5N1,Mountain lion
Washington,Franklin,12/5/2024,EA H5,House mouse
Washington,Mason,12/4/2024,EA H5N1,Mountain lion
Washington,Mason,12/4/2024,EA/AM H5N1,Mountain lion
California,Tulare,12/3/2024,EA H5N1,Domestic cat
Alaska,North Slope,12/2/2024,EA H5N1,Polar bear
Alaska,North Slope,10/7/2024,EA H5,Red fox
Florida,Brevard,10/7/2024,EA H5N1,Bottlenose dolphin
Florida,Brevard,10/7/2024,EA H5N1,Bottlenose dolphin
Florida,Brevard,10/7/2024,EA H5N1,Bottlenose dolphin
Alaska,North Slope,10/3/2024,EA H5N1,Red fox
