State,County,Outbreak Date,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
California,Yolo,2/10/2025,EA H5,Western gull,Wild bird,Morbidity/Mortality,UC Davis
North Carolina,Buncombe,2/10/2025,EA H5,Cackling goose,Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
California,San Joaquin,2/6/2025,EA H5,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
California,San Joaquin,2/6/2025,EA H5,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Pennsylvania,Columbia,2/6/2025,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
Pennsylvania,Columbia,2/6/2025,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
Pennsylvania,Columbia,2/6/2025,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
California,Tulare,2/5/2025,EA H5N1,Rock pigeon,Wild bird,Agency harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Oregon,Columbia,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Oregon,Columbia,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Oregon,Columbia,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Michigan,Eaton,2/4/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Michigan,Eaton,2/4/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
