County,State,Temp,Temp Anomaly (1901-2000 base period),Temp 1901-2000 Mean,Precipitation,Prec Anomaly (1901-2000 base period),Prec 1901-2000 Mean,Z Palmer Index,Z Anomaly (1901-2000 base period),Z 1901-2000 Mean
Autauga ,Alabama,65.9,2,63.9,52.43,-1.3,53.73,-0.3,-0.26,-0.04
Baldwin ,Alabama,68.7,2,66.8,60.71,-1.56,62.27,-0.23,-0.24,0.01
Barbour ,Alabama,66.4,1.6,64.8,55.97,3.45,52.52,0.1,0.08,0.01
Bibb ,Alabama,64.5,1.8,62.7,46.88,-8.55,55.43,-0.83,-0.79,-0.04
Blount ,Alabama,63.1,2.5,60.6,47.63,-8.19,55.82,-0.87,-0.92,0.04
Bullock ,Alabama,65.8,1.7,64.1,57.68,5.41,52.27,0.34,0.33,0.01
Butler ,Alabama,66.2,1.6,64.6,54.98,-0.95,55.93,-0.34,-0.29,-0.05
Calhoun ,Alabama,63.3,2.4,61,46.48,-7.11,53.59,-0.7,-0.7,0
Chambers ,Alabama,63.8,2.2,61.6,55.7,2.2,53.5,-0.09,-0.04,-0.05
Cherokee ,Alabama,62.5,1.9,60.6,46.01,-7.72,53.73,-0.82,-0.79,-0.03
Chilton ,Alabama,64.6,1.9,62.7,47.98,-6.42,54.4,-0.67,-0.62,-0.06
Choctaw ,Alabama,67.2,2.7,64.5,52.03,-5.11,57.14,-0.64,-0.67,0.03
Clarke ,Alabama,67,2.2,64.9,54.29,-3.89,58.18,-0.53,-0.5,-0.03
Clay ,Alabama,62.9,2.2,60.7,52.13,-3.92,56.05,-0.34,-0.34,0.01
Cleburne ,Alabama,62.4,2.5,59.9,50.85,-3.28,54.13,-0.27,-0.26,0
Coffee ,Alabama,67,1.6,65.4,58.36,1.89,56.47,0.03,-0.02,0.05
Colbert ,Alabama,62.9,2.9,59.9,50.75,-2.98,53.73,-0.47,-0.47,0
Conecuh ,Alabama,66.7,1.2,65.4,59.34,1.1,58.24,-0.09,-0.02,-0.07
Coosa ,Alabama,64.1,1.8,62.3,52.96,-1.87,54.83,-0.28,-0.22,-0.07
Covington ,Alabama,67.1,1.5,65.6,55.44,-3.46,58.9,-0.43,-0.42,0
Crenshaw ,Alabama,66,1.6,64.4,56.53,0.94,55.59,-0.14,-0.13,-0.01
Cullman ,Alabama,62.9,2.6,60.3,51.18,-5.14,56.32,-0.72,-0.74,0.02
